Topic,Subtopic,ObjectiveName,LearningObjectives,Pre-requisites,vloookup,true?,
,Division of fractions,Divsion of a Fraction by a Number," Dividing a fraction by a whole number means to split the fraction further into smaller parts as per the whole number and find out the fraction of each part. 
",Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,, Dividing a fraction of an object by a whole number means to divide the whole object into the same number of parts as the fraction is divided into.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,Division is a method of distributing objects equally in groups or splitting a large group of objects into smaller equal groups.,TRUE,
,,,,"""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""","""Number of parts considered from the whole is the numerator
 Total number of parts the whole is divided into is the denominator""",TRUE,
,,,,,,,
,Division of fractions,Division of fractions mathematically,"Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ","Division being the inverse of multiplication; dividing a whole number a by b means finding a whole number ""c"" which when multiplied by b gives a.
Thus a ÷ b = c is same as a = b x c. ",TRUE,
,,,,"When we multiply a fraction, say a/b with a fraction b/a, what we get as a result is  1. Reciprocal is also known as multiplicative inverse. So we can say multiplying a fraction or a number with its reciprocal of multiplicative inverse gives 1 as the result.",,,
,,,,Division of a bigger fraction by a smaller fraction tells us how many units of smaller fractions can make a bigger fraction.,Division of a bigger fraction by a smaller fraction tells us how many units of smaller fractions can make a bigger fraction.,TRUE,
,,,,,,,
,Division of fractions,Properties of Division," Commutative Property
Commutative Property is not applicable to division of fractions since changing the order of fractions will change the value of the results. 




","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,
,,,," Commutative Property
The commutative property for division of whole numbers states that if the order of whole numbers divided is reversed, the quotient between them changes. 
i.e., for any two whole numbers a and b, a ÷ b ≠ b ÷ a. "," Commutative Property
The commutative property for division of whole numbers states that if the order of whole numbers divided is reversed, the quotient between them changes. 
i.e., for any two whole numbers a and b, a ÷ b ≠ b ÷ a. ",TRUE,
,,," Associative Property
Associative Property is not applicable to division of fractions since changing the grouping of fractions will change the value of the results. ","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,
,,,,"Associative Property                                                                                                 
The associative property for division of whole numbers states that when dividing three whole numbers, the result changes depending on how the three whole  numbers are grouped. i.e. if a, b and c are any three whole numbers then
a ÷ (b ÷ c)  ≠ (a ÷ b) ÷ c","Associative Property                                                                                                 
The associative property for division of whole numbers states that when dividing three whole numbers, the result changes depending on how the three whole  numbers are grouped. i.e. if a, b and c are any three whole numbers then
a ÷ (b ÷ c)  ≠ (a ÷ b) ÷ c",TRUE,
,,," Distributive Property Over Addition/Subtraction
Distribution over addition/subtraction is not possible in case of division of fractions.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,
,,,,Addition of unlike fractions ,,,
,,,,We convert unlike to like fractions and then subtract the like fractions ,We convert unlike to like fractions and then subtract the like fractions ,TRUE,
,,," Division Property of 1
Any fraction when divided by 1, gives the quotient as the fraction itself.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,
,,,,"Division of a whole number by 1                                                                                                
If any whole number (other than zero) is divided by 1 then the answer or the quotient is the number itself.","Division of a whole number by 1                                                                                                
If any whole number (other than zero) is divided by 1 then the answer or the quotient is the number itself.",TRUE,
,,," Division Property of 0
Division of 0 by any non-zero fraction results in 0.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,
,,,,"Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ","Division by 0                                                                        
Zero divided by a non- zero whole number is zero. i.e. if a is a whole numbers other than zero, then 0 ÷ a = 0.
A whole number divided by 0 is undefined because we cannot divide a number into 0 parts. ",TRUE,
,,," Division by itself
Dividing any non-zero fraction by itself gives the result as ","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,
,,,,"Division of a whole number by itself                                                                                                    
Dividing a number by itself gives the result as ",,,
,Order of Operations,BODMAS,BODMAS,Use BODMAS to solve problems on whole numbers involving multiple operators. ,Use BODMAS to solve problems on whole numbers involving multiple operators. ,TRUE,
,,,,Addition of unlike fractions ,,,
,,,,We convert unlike to like fractions and then subtract the like fractions ,We convert unlike to like fractions and then subtract the like fractions ,TRUE,
,,,," Multiplication of fractions is to take a part of a fraction.

"," Multiplication of fractions is to take a part of a fraction.

",TRUE,
,,,,"Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.","Since division is the inverse of multiplication, we convert the division problem to multiplication problem by finding the reciprocal of the second fraction.",TRUE,




















































































































































































































































































































































































































































































































































































































































































































































































































